title,content,comments,감정
창녀가 돈에 미치면,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON4이미지 순서 ON이렇게 됨 ㅇㅇ,[댓글 없음],슬픔
ㄹㅇ 여자가 나히다 누드 코스프레보니까 좋다,씨발 그동안 좆달린 새끼들 나히다 코스섹스만 봤는데 드디어 시발...아 눈물나와,[댓글 없음],슬픔
.,,[댓글 없음],슬픔
또 중복이야 ㅆㅣ발,쓸사람 갖다쓰셈원석은 아닐거임,[댓글 없음],슬픔
스커크로 헬프갈수있나?,일단 컹이랑 에스코코미랑 들어놓고저기....혹시 바바라랑 행추 들어주실래요?라고 말해주고제가 잡을테니까 옆에서 물부착좀 해주세요라고 말해야되나,어차피그런좃뉴비는 바바라케이아들고겜하고잇을듯 ㅇㅇ. | 센스가 있는 뉴비면 좋은데아니면 개짜치긴할듯.. | ....이전에 왔던 사람은 혼자서 다잡던데 | 풀돌풀재 아니면 헬프못가 | 뉴비한테 조건맞춰달라 요구하면 가능은 하지만좀 모양새가 그렇지도와주러온사람이 이것저것 따진다면 | 스커크 풀돌해놓고서도 헬프를 못가는 캐릭 | 뭐 주보급아니면 걍 컹에 둘만가져가도 깡딜러줘팰거같긴한뎅  - dc App,슬픔
이거 진짜임?,1이미지 순서 ON2이미지 순서 ON각청이 보스로 나옴?- dc official App,ㅇㅇ 실화임 | 스커크 팔다리 자른 청이가 우습더냐 | ㅇㅇ정액발사 빨리해야 깨짐 | 개쉽겠네,슬픔
야,왜,[댓글 없음],슬픔
에일로이가 왜 성능이 구리고 중증 장애인일지 EU를 제시함,"내가 봉사활동 차에 꽃동내에 며칠 방문했다가놀라운 사실을 깨달았는데장애인들의 외모를 관찰 해본 결과장애 정도와 외모는 반비례하단거다즉 심각한 장애인일수록 못생겼고개선의 여지가 있는 어느정도 증세가 약한 장애인일수록외모가 말끔해진다는거다이 결과를 추론하여,심각할 정도로 못생긴 에일로이는틀림없이 장애를 갖고있을 것이다.",[댓글 없음],슬픔
전쟁 났는데 우흥 기회 안오나,흠,[댓글 없음],상처
근데 왜 붕스는 여전히 12세고 원신만 15세 됨?,붕스가 더 선정성이 강했으면 강했지,[댓글 없음],슬픔
루루룽 콘 좀 귀여운듯,내가 쓰진않는데 가끔 콘보면 귀여움,[댓글 없음],슬픔
설문조사 뒤졌다,진짜 불같이 토해낸다,바로 매우좋음 눌러야지 | 매우 만족 | 매우 만족 누룰시 모라 10000 더 증정,슬픔
큰거 1시간전ㅋㅋ,입벌려라,[댓글 없음],슬픔
존나 이쁘네,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON반할 것 같다,명조신캐?,슬픔
원신<-유라보다 예쁜 캐릭 안 나옴,,ㅇㅈ,슬픔
근데 5.8 제압전은 ㅈ같아보이긴 해,6단계 코시호 피통 천만 ㄹㅇ 걍 끔찍함말라니가 카운터긴 한데 6단계라 몹 스펙이 저따구면 말라니도 돌파한 애들(2돌 이상)이나 수월할듯,각청 뭐로잡냐 ㄷㄷ | 내리다가 비추눌러서 개추줌 | 코시호뭘로잡냐시발 답도안보이네 스커크로가능한가  - dc App | 코시호 말라니가 왜 카운터임? 쟤 번개 아니야? | 각청이 1초컷이라 괜찮음 | 코시호 패턴이 뭔데 그냥 마비카로 죽이면 안돼? | 결국 5.8은 말랑이 복각이네..... 여름이벤트 + 마이크로비키니 입은 말라니 이렇게 나와줘야 정상임,슬픔
시발 이 갤은 개새끼들밖에 없나,왜자구 컹컹거려 죽을래,[댓글 없음],슬픔
충격)스커크는 사실 공허 IX의 사도?!?,1이미지 순서 ON2이미지 순서 ON눈동자가 공허 운명의길과 정확히일치하는것으로 밝혀져.. 충격,그냥똑같네... 붕괴세계관 대통합가즈아 | 컹케론,슬픔
스커크 쓰려하면 에스코코미는 1돌만해줌됨?,2돌까지는 가야하나?,플래티넘 이벤트 보니깐 풀돌 적당히 박는애들 거의 1돌이고 2돌은 몇 없던데 | 1도링 효율이 많이 좋지 | 스커크1돌하는거보다 에피1돌하는게 파티딜 더오르더라  - dc App,슬픔
.,.,[댓글 없음],슬픔
산왕 세마리만 잡고가게 9렙월드좀열어주실분제발싹싹빔,,8910916311분뒤열어줌,슬픔
스컹크콘 사라져서 울었어,이거때문인가,요즘 점심시간 지나야 통과시켜주더라고박수치는 스커크로 바꿔서 신청해놨음 | 컹부이치치 어딨냐고,슬픔
신학 풀돌하면 단독으로도 쓸만함?,지금 2돌 전무인데솔직히 좀 쓰기 애매함,궁 안써도 돼 | 서포팅캐릭인데 단독으로 어캐쓴다는거임,슬픔
투표) 각청이랑 결혼하기 vs  호두랑 결혼하기,,[댓글 없음],슬픔
콘페할인 볼때마다 존나 부러움그냥,크트엿다가 스크로바꾼건데 왜바꿧지,[댓글 없음],슬픔
느비팟이 이제 새시대의 해병팟이네,푸리나 뜯기고 실로닌 뜯겨서 느탈카종ㅋㅋ,느탈카백 쓴대 | 그렇게 다 뜯어주면 느비를 누가 쓰노,슬픔
스커크는 누가봐도 양자인데 왜 양자 아님,눈부터 나는 양자요 이러고 있는데,여자니까 양녀지 생각좀  - dc App | 보지아닌가요? | ㄱㄷ 양자속성성배 추가해달라고 문의넣고옴,슬픔
이정도 덱풀이면 6단계 문제없겠지?,문제는 내가 의욕이 생길까 하나뿐이군,덱풀이 없는데요 | 안됨 | 덱풀이 삐에로덴인가요,슬픔
느비 풀풀 현역임?,요샌 구리다던데,"탑티어 논할때 담궈진거지 출시되는 갖가지 컨텐츠에서 속성고로시만 아니면 한자리하는건 여전함 | 아무리 나타에서 인플레 두배로 밟았다고 해도 그 느비 성능이 어디가겠음 풀돌풀재면 이나즈마, 수메르 애들도 현역으로 뛰는데 | 서폿만 몰아주면 뭐 ㅋㅋ",슬픔
아주무서운 디시콘이 나와벌임,아주 흉악함..;;,[댓글 없음],슬픔
중운 모나 얘네 세팅할 필요 있음?,모나 원충만 챙기고 70렙으로 써도 되나,모나는 돌파스탯이 원충이라 80레벨 돌파까진 뚫어줘,슬픔
청이 vs 컹이,1 얼굴청이 승2 성능청이 승3 인기청이 승4 보유율청이 승5 사회적 지위청이 승6 세팅 난이도청이 승7 신체청이 승결론컹이 역전승,[댓글 없음],슬픔
스커크가 원하는건 푸리나 신학 에피가 아님,어린 딸딸이 데려다가 키운거보면이년이원하는건 달리아 미카 중운일거다- dc official App,[댓글 없음],슬픔
여자가 자지빠는거 왜 꼴리는지 모르겠음..,근데 너무 꼴림..,남자가자지빠는건어떰 | 둘이서 빠는게 존나 꼴루,슬픔
다음주 와썹때도 운없으면 그냥자살함,근데 새버전 페이백하지안나?? 무슨요일이지,난 이미 자살했음 | 잘가,슬픔
대재용 갓재용 킹재용 사랑해,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON형 덕분에 kt 와썹으로 5트럭 267000원에 했어,와씨발 | 이새기차단좀 | 왓더 | 통신사결제 ㅋㅋㅋ 할많하않,슬픔
궁금한거,이거 dps표 딜 기여 50% 이상부터 기록되는거같은데 왜 느비만 내려쳐지는거임?- dc official App,[댓글 없음],슬픔
6단계가 대충 60초에 1300만정도 까야하는건데,걍 최근캐 2돌조합 말면 떡칠거같은데 3~4사이클에 저정도는 요즘 2돌팟이면 거의 깜,바레사빼면 푸시실 나눠써야하는데 쉽나 | 마비카 스커크는 2돌로 된다쳐도 거기에 서폿 몰아주고남은 놈은 2돌로 60초안에 안되지 | 쉽지안내 | 원충0에 패턴봐야하는데 3-4사이클을 어캐굴림 | 몹이 허수아비도 아니고 좆지랄하는 와중에 패야되잖아... 제압전 특수패턴도 붙여놔서 마냥 딜찍누로 넘길 수도 없고,슬픔
확률 씨발ㅇㅇㅋㅋㅋㅋㅋ,좆까세연,밑에 4만원들은 s25쿠폰임? | 와 | ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ주말 와썹 바뀌기 시작할때가 제일 좋았었는데 지금은 저따위네 ㅋㅋㅋ,슬픔
춤추는 사이퍼 jpg.,,[댓글 없음],슬픔
와ㅋㅋㅋㅋㅋ,,[댓글 없음],슬픔
와ㅋㅋㅋ,,[댓글 없음],슬픔
이벤트 그나마 재미있던 점,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON용으로 빙의해서 플레이어들을 양학하고 코인 뺏는거 좋았음마치 데바데에서 헌터가 된 느낌그래서 일부러 코인 적게 먹어서 용이 되어서 코인 약탈하고 다님약한놈들 괴롭히는건 즐거워,ㄹㅇ 롤보다 무서운게임임 ㄷ,슬픔
코시호 말라니없으면 뭐로잡냐,타수안넘기고 컷은 그냥 무리고 마시실베로 번개쉴드까고 잡는게 맞겠지?,실드까고 잡는거 가정하면 차라리 풀쓰는 조합이 나을듯 | 마시실베도 고스펙이면 실드전에 잡을텐데 | 여기 고닉들은 코시호 연비로 잡던데? | https://youtu.be/m7mYpHRbpas,슬픔
사진 이쁘게찍음,몬드 애들이야- dc official App,인싸기만 | 친구가 많구나 | 소루쉬도잇네 | 인싸,슬픔
부계 공월 걍 지르지 말까,키울캐릭도 없고4성 키우더라도 필드 잡몹 재료 캐가면서 키우긴 귀찮아서지맥만 돌고있는데스커크 반천 칠 재화만 모을까 아니면 걍 유기할까푸리나 없고 에스코삣삐 야란 아야카 2돌이랑 굴리고있음유라2돌이랑 소 있는데 죄다 고인이고덴덴이 명함은 메인딜 쓰기엔 체급이 아쉽고,[댓글 없음],슬픔
본인 느비예트 없는데,느비 복각하면 뽑을만함?,ㄴㄴㄴㄴ | 느선족 따이이잇 당한지 오래 | 이제 느비는 끝났슴 | 5.2때 뽑았는데 하도 물고로시해대서 나선에서 딱 두번 씀 | 난 솔직히 언제 쓴지 기억도 안남이벤트 다수전 편하게 하려고 뽑았는데 그런것도 안나오고 | 명함만 할거면 굳이,슬픔
스커크때 불벼림 석륜 레벨 열림?,불인장 385개잇는데 쓰질 못하네,5.8에열릴걸  - dc App,슬픔
코코미씨발년,으로 6행시해보겠습니다코끝에 스치는 향기처럼코코미님의 존재는 상큼하고 은은하네요..미모는 물론 지성까지 겸비하셨죠씨앗처럼 모든 이에게 희망을 품어주시는 분발끝까지 흐르는 그 품격에 감탄이 절로 납니다년중에 오늘이 가장 빛나는 이유는 코코미님이 계셔서예요사랑합니다 코코미님,[댓글 없음],슬픔
ㄴ모르겠고 푸리나 공연 시작할께~,- dc official App,[댓글 없음],슬픔
창녀가 돈에 미치면,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON4이미지 순서 ON이렇게 됨 ㅇㅇ,[댓글 없음],슬픔
ㄹㅇ 여자가 나히다 누드 코스프레보니까 좋다,씨발 그동안 좆달린 새끼들 나히다 코스섹스만 봤는데 드디어 시발...아 눈물나와,[댓글 없음],슬픔
.,,[댓글 없음],슬픔
또 중복이야 ㅆㅣ발,쓸사람 갖다쓰셈원석은 아닐거임,[댓글 없음],슬픔
스커크로 헬프갈수있나?,일단 컹이랑 에스코코미랑 들어놓고저기....혹시 바바라랑 행추 들어주실래요?라고 말해주고제가 잡을테니까 옆에서 물부착좀 해주세요라고 말해야되나,어차피그런좃뉴비는 바바라케이아들고겜하고잇을듯 ㅇㅇ. | 센스가 있는 뉴비면 좋은데아니면 개짜치긴할듯.. | ....이전에 왔던 사람은 혼자서 다잡던데 | 풀돌풀재 아니면 헬프못가 | 뉴비한테 조건맞춰달라 요구하면 가능은 하지만좀 모양새가 그렇지도와주러온사람이 이것저것 따진다면 | 스커크 풀돌해놓고서도 헬프를 못가는 캐릭 | 뭐 주보급아니면 걍 컹에 둘만가져가도 깡딜러줘팰거같긴한뎅  - dc App,슬픔
이거 진짜임?,1이미지 순서 ON2이미지 순서 ON각청이 보스로 나옴?- dc official App,ㅇㅇ 실화임 | 스커크 팔다리 자른 청이가 우습더냐 | ㅇㅇ정액발사 빨리해야 깨짐 | 개쉽겠네,슬픔
야,왜,[댓글 없음],슬픔
에일로이가 왜 성능이 구리고 중증 장애인일지 EU를 제시함,"내가 봉사활동 차에 꽃동내에 며칠 방문했다가놀라운 사실을 깨달았는데장애인들의 외모를 관찰 해본 결과장애 정도와 외모는 반비례하단거다즉 심각한 장애인일수록 못생겼고개선의 여지가 있는 어느정도 증세가 약한 장애인일수록외모가 말끔해진다는거다이 결과를 추론하여,심각할 정도로 못생긴 에일로이는틀림없이 장애를 갖고있을 것이다.",[댓글 없음],슬픔
전쟁 났는데 우흥 기회 안오나,흠,[댓글 없음],상처
근데 왜 붕스는 여전히 12세고 원신만 15세 됨?,붕스가 더 선정성이 강했으면 강했지,[댓글 없음],슬픔
루루룽 콘 좀 귀여운듯,내가 쓰진않는데 가끔 콘보면 귀여움,[댓글 없음],슬픔
설문조사 뒤졌다,진짜 불같이 토해낸다,바로 매우좋음 눌러야지 | 매우 만족 | 매우 만족 누룰시 모라 10000 더 증정,슬픔
큰거 1시간전ㅋㅋ,입벌려라,[댓글 없음],슬픔
존나 이쁘네,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON반할 것 같다,명조신캐?,슬픔
원신<-유라보다 예쁜 캐릭 안 나옴,,ㅇㅈ,슬픔
근데 5.8 제압전은 ㅈ같아보이긴 해,6단계 코시호 피통 천만 ㄹㅇ 걍 끔찍함말라니가 카운터긴 한데 6단계라 몹 스펙이 저따구면 말라니도 돌파한 애들(2돌 이상)이나 수월할듯,각청 뭐로잡냐 ㄷㄷ | 내리다가 비추눌러서 개추줌 | 코시호뭘로잡냐시발 답도안보이네 스커크로가능한가  - dc App | 코시호 말라니가 왜 카운터임? 쟤 번개 아니야? | 각청이 1초컷이라 괜찮음 | 코시호 패턴이 뭔데 그냥 마비카로 죽이면 안돼? | 결국 5.8은 말랑이 복각이네..... 여름이벤트 + 마이크로비키니 입은 말라니 이렇게 나와줘야 정상임,슬픔
시발 이 갤은 개새끼들밖에 없나,왜자구 컹컹거려 죽을래,[댓글 없음],슬픔
충격)스커크는 사실 공허 IX의 사도?!?,1이미지 순서 ON2이미지 순서 ON눈동자가 공허 운명의길과 정확히일치하는것으로 밝혀져.. 충격,그냥똑같네... 붕괴세계관 대통합가즈아 | 컹케론,슬픔
스커크 쓰려하면 에스코코미는 1돌만해줌됨?,2돌까지는 가야하나?,플래티넘 이벤트 보니깐 풀돌 적당히 박는애들 거의 1돌이고 2돌은 몇 없던데 | 1도링 효율이 많이 좋지 | 스커크1돌하는거보다 에피1돌하는게 파티딜 더오르더라  - dc App,슬픔
.,.,[댓글 없음],슬픔
산왕 세마리만 잡고가게 9렙월드좀열어주실분제발싹싹빔,,8910916311분뒤열어줌,슬픔
스컹크콘 사라져서 울었어,이거때문인가,요즘 점심시간 지나야 통과시켜주더라고박수치는 스커크로 바꿔서 신청해놨음 | 컹부이치치 어딨냐고,슬픔
신학 풀돌하면 단독으로도 쓸만함?,지금 2돌 전무인데솔직히 좀 쓰기 애매함,궁 안써도 돼 | 서포팅캐릭인데 단독으로 어캐쓴다는거임,슬픔
투표) 각청이랑 결혼하기 vs  호두랑 결혼하기,,[댓글 없음],슬픔
콘페할인 볼때마다 존나 부러움그냥,크트엿다가 스크로바꾼건데 왜바꿧지,[댓글 없음],슬픔
느비팟이 이제 새시대의 해병팟이네,푸리나 뜯기고 실로닌 뜯겨서 느탈카종ㅋㅋ,느탈카백 쓴대 | 그렇게 다 뜯어주면 느비를 누가 쓰노,슬픔
스커크는 누가봐도 양자인데 왜 양자 아님,눈부터 나는 양자요 이러고 있는데,여자니까 양녀지 생각좀  - dc App | 보지아닌가요? | ㄱㄷ 양자속성성배 추가해달라고 문의넣고옴,슬픔
이정도 덱풀이면 6단계 문제없겠지?,문제는 내가 의욕이 생길까 하나뿐이군,덱풀이 없는데요 | 안됨 | 덱풀이 삐에로덴인가요,슬픔
느비 풀풀 현역임?,요샌 구리다던데,"탑티어 논할때 담궈진거지 출시되는 갖가지 컨텐츠에서 속성고로시만 아니면 한자리하는건 여전함 | 아무리 나타에서 인플레 두배로 밟았다고 해도 그 느비 성능이 어디가겠음 풀돌풀재면 이나즈마, 수메르 애들도 현역으로 뛰는데 | 서폿만 몰아주면 뭐 ㅋㅋ",슬픔
아주무서운 디시콘이 나와벌임,아주 흉악함..;;,[댓글 없음],슬픔
중운 모나 얘네 세팅할 필요 있음?,모나 원충만 챙기고 70렙으로 써도 되나,모나는 돌파스탯이 원충이라 80레벨 돌파까진 뚫어줘,슬픔
청이 vs 컹이,1 얼굴청이 승2 성능청이 승3 인기청이 승4 보유율청이 승5 사회적 지위청이 승6 세팅 난이도청이 승7 신체청이 승결론컹이 역전승,[댓글 없음],슬픔
스커크가 원하는건 푸리나 신학 에피가 아님,어린 딸딸이 데려다가 키운거보면이년이원하는건 달리아 미카 중운일거다- dc official App,[댓글 없음],슬픔
여자가 자지빠는거 왜 꼴리는지 모르겠음..,근데 너무 꼴림..,남자가자지빠는건어떰 | 둘이서 빠는게 존나 꼴루,슬픔
다음주 와썹때도 운없으면 그냥자살함,근데 새버전 페이백하지안나?? 무슨요일이지,난 이미 자살했음 | 잘가,슬픔
대재용 갓재용 킹재용 사랑해,1이미지 순서 ON2이미지 순서 ON3이미지 순서 ON형 덕분에 kt 와썹으로 5트럭 267000원에 했어,와씨발 | 이새기차단좀 | 왓더 | 통신사결제 ㅋㅋㅋ 할많하않,슬픔
궁금한거,이거 dps표 딜 기여 50% 이상부터 기록되는거같은데 왜 느비만 내려쳐지는거임?- dc official App,[댓글 없음],슬픔
6단계가 대충 60초에 1300만정도 까야하는건데,걍 최근캐 2돌조합 말면 떡칠거같은데 3~4사이클에 저정도는 요즘 2돌팟이면 거의 깜,바레사빼면 푸시실 나눠써야하는데 쉽나 | 마비카 스커크는 2돌로 된다쳐도 거기에 서폿 몰아주고남은 놈은 2돌로 60초안에 안되지 | 쉽지안내 | 원충0에 패턴봐야하는데 3-4사이클을 어캐굴림 | 몹이 허수아비도 아니고 좆지랄하는 와중에 패야되잖아... 제압전 특수패턴도 붙여놔서 마냥 딜찍누로 넘길 수도 없고,슬픔
확률 씨발ㅇㅇㅋㅋㅋㅋㅋ,좆까세연,밑에 4만원들은 s25쿠폰임? | 와 | ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ주말 와썹 바뀌기 시작할때가 제일 좋았었는데 지금은 저따위네 ㅋㅋㅋ,슬픔
